,dtype,missing,missing_pct,n_unique
Patient_ID,str,0,0.0,10000
Age,int64,0,0.0,89
Gender,str,0,0.0,3
BMI,float64,0,0.0,254
Smoking_Status,str,0,0.0,3
Family_History,int64,0,0.0,2
Allergies,str,2936,29.36,4
Air_Pollution_Level,str,0,0.0,3
Physical_Activity_Level,str,0,0.0,3
Occupation_Type,str,0,0.0,2
Comorbidities,str,4967,49.67,3
Medication_Adherence,float64,0,0.0,100
Number_of_ER_Visits,int64,0,0.0,7
Peak_Expiratory_Flow,float64,0,0.0,3468
FeNO_Level,float64,0,0.0,497
Has_Asthma,int64,0,0.0,2
Asthma_Control_Level,str,7567,75.67,3
