,dtype,missing,missing_pct,n_unique
name,str,0,0.0,195
MDVP:Fo(Hz),float64,0,0.0,195
MDVP:Fhi(Hz),float64,0,0.0,195
MDVP:Flo(Hz),float64,0,0.0,195
MDVP:Jitter(%),float64,0,0.0,173
MDVP:Jitter(Abs),float64,0,0.0,19
MDVP:RAP,float64,0,0.0,155
MDVP:PPQ,float64,0,0.0,165
Jitter:DDP,float64,0,0.0,180
MDVP:Shimmer,float64,0,0.0,188
MDVP:Shimmer(dB),float64,0,0.0,149
Shimmer:APQ3,float64,0,0.0,184
Shimmer:APQ5,float64,0,0.0,189
MDVP:APQ,float64,0,0.0,189
Shimmer:DDA,float64,0,0.0,189
NHR,float64,0,0.0,185
HNR,float64,0,0.0,195
status,int64,0,0.0,2
RPDE,float64,0,0.0,195
DFA,float64,0,0.0,195
spread1,float64,0,0.0,195
spread2,float64,0,0.0,194
D2,float64,0,0.0,195
PPE,float64,0,0.0,195
_subject_id,str,0,0.0,32
